map,map_number,match_type,match_date,match_id,event_name,head2head_team1_wins,head2head_team2_wins,head2head_map_team1,head2head_map_team2,team_1_players_id,team2_players_id,team_1_players_name,team_2_players_name,map_pick_team_1,map_pick_team_2,team1, team1_id,team1_rank,team1_result,team1_wins_1_month,team1_loses_1_month,team1_wins_3_month,team1_loses_3_month,team1_wr_1_month,team1_wr_3_month,team1_map_played_in_1_month,team1_map_played_in_3_month,team1_last_map_win,team_2,team_2_id,team2_rank,team2_result,team2_wins_1_month,team2_loses_1_month,team2_wins_3_month,team2_loses_3_month,team2_wr_1_month,team2_wr_3_month,team2_map_played_in_1_month,team2_map_played_in_3_month,team2_last_map_win,map_winner_team1,map_winner_team2
de_inferno,3,bo3,2022-02-01,2354179,Elisa Invitational Winter 2021 Main Qualifier,5,9,0,0,29 7148 16029 9261 12840,4076 7248 9271 11283 18643,f0rest friberg heap lekr0 hallzerk,aerial xseven slowi ottond sm1llee,0,0,dignitas,5422,29,16,3,1,5,3,0.75,0.625,4,8,0,havu,7865,78,14,0,3,1,5,0.16666666666666666,0,3,6,0,1,0
de_nuke,1,bo3,2022-02-01,2354193,Pinnacle Winter Series 1,0,0,0,0,12521 12553 15631 19750 18835,14684 973 15428 9574 15940,art yuurih kscerato drop saffee,jedqr szpero goofy snatchie sobol,0,1,furia,8297,13,6,0,1,0,1,0.0,0.0,1,1,0,wisla krakow,10426,34,16,8,1,12,5,0.7058823529411765,0,9,17,0,0,1
de_inferno,2,bo3,2022-02-01,2354193,Pinnacle Winter Series 1,0,0,0,0,12521 12553 15631 19750 18835,14684 973 15428 9574 15940,art yuurih kscerato drop saffee,jedqr szpero goofy snatchie sobol,1,0,furia,8297,13,8,0,1,0,2,0.0,0.0,1,2,0,wisla krakow,10426,34,16,3,0,7,3,0.7,0,3,10,0,0,1
de_inferno,1,bo3,2022-02-01,2354192,Pinnacle Winter Series 1,0,0,0,0,11271 8184 18462 7528 13666,13670 19021 8151 8248 6904,smooya alex mezii krimz brollan,nawwk chawzyyy acilion jkaem styko,1,0,fnatic,4991,11,13,0,2,6,3,0.0,0.6666666666666666,2,9,0,apeks,9806,47,16,2,2,2,2,0.5,0,4,4,0,0,1
de_mirage,2,bo3,2022-02-01,2354192,Pinnacle Winter Series 1,0,0,0,0,11271 8184 18462 7528 13666,13670 19021 8151 8248 6904,smooya alex mezii krimz brollan,nawwk chawzyyy acilion jkaem styko,0,1,fnatic,4991,11,13,1,2,3,2,0.3333333333333333,0.6,3,5,0,apeks,9806,47,16,6,1,6,1,0.8571428571428571,0,7,7,0,0,1
de_overpass,1,bo3,2022-02-01,2354216,Thunderpick Bitcoin Series 2022,2,0,0,0,19738 8374 13497 19739 19926,16432 21062 21063 14388 11260,djoko bodyy lucky ex3rcice afro,manguss matys adejis the-elive nio,0,1,heet,11501,24,13,0,1,0,1,0.0,0.0,1,1,0,enterprise,10873,48,16,4,3,8,6,0.5714285714285714,0,7,14,0,0,1
de_vertigo,2,bo3,2022-02-01,2354216,Thunderpick Bitcoin Series 2022,2,0,0,0,19738 8374 13497 19739 19926,16432 21062 21063 14388 11260,djoko bodyy lucky ex3rcice afro,manguss matys adejis the-elive nio,1,0,heet,11501,24,16,2,0,2,0,1.0,1.0,2,2,0,enterprise,10873,48,2,1,5,1,6,0.14285714285714285,0,6,7,0,1,0
de_inferno,3,bo3,2022-02-01,2354216,Thunderpick Bitcoin Series 2022,2,0,0,0,19738 8374 13497 19739 19926,16432 21062 21063 14388 11260,djoko bodyy lucky ex3rcice afro,manguss matys adejis the-elive nio,0,0,heet,11501,24,16,4,1,4,1,0.8,0.8,5,5,0,enterprise,10873,48,11,3,3,5,6,0.45454545454545453,0,6,11,0,1,0
de_mirage,1,bo3,2022-02-01,2354191,Pinnacle Winter Series 1,0,0,0,0,7964 10994 12018 14148 10610,16612 12733 19575 20101 11940,cadian stavn teses sjuush refrezh,n0rb3r7 xsepower x5g7v fame nealan,0,1,heroic,7175,5,16,1,0,4,4,1.0,0.5,1,8,0,k23,7244,16,12,6,2,12,3,0.8,0,8,15,0,1,0
de_nuke,2,bo3,2022-02-01,2354191,Pinnacle Winter Series 1,0,0,0,0,7964 10994 12018 14148 10610,16612 12733 19575 20101 11940,cadian stavn teses sjuush refrezh,n0rb3r7 xsepower x5g7v fame nealan,1,0,heroic,7175,5,14,0,1,3,4,0.0,0.42857142857142855,1,7,0,k23,7244,16,16,3,2,7,4,0.6363636363636364,0,5,11,0,0,1
de_overpass,3,bo3,2022-02-01,2354191,Pinnacle Winter Series 1,0,0,0,0,7964 10994 12018 14148 10610,16612 12733 19575 20101 11940,cadian stavn teses sjuush refrezh,n0rb3r7 xsepower x5g7v fame nealan,0,0,heroic,7175,5,14,0,1,0,3,0.0,0.0,1,3,0,k23,7244,16,16,3,1,7,2,0.7777777777777778,0,4,9,0,0,1
de_inferno,1,bo3,2022-02-01,2354215,Thunderpick Bitcoin Series 2022,2,1,0,0,14273 19235 13976 19812 12269,9811 15639 9255 7443 15096,idisbalance belchonokk box chill jyo,plessen dezon draken twist grux,0,1,nemiga,7969,40,16,3,0,7,9,1.0,0.4375,3,16,0,savage,11401,36,14,2,2,10,5,0.6666666666666666,0,4,15,0,1,0
de_vertigo,2,bo3,2022-02-01,2354215,Thunderpick Bitcoin Series 2022,2,1,1,0,14273 19235 13976 19812 12269,9811 15639 9255 7443 15096,idisbalance belchonokk box chill jyo,plessen dezon draken twist grux,1,0,nemiga,7969,40,16,2,2,5,3,0.5,0.625,4,8,1,savage,11401,36,14,2,1,7,5,0.5833333333333334,0,3,12,0,1,0
de_vertigo,1,bo3,2022-02-01,2354190,Pinnacle Winter Series 1,0,0,0,0,10096 13602 14419 17956 20090,7938 8574 8575 15835 19187,hooxi nicoodoz roej jabbi zyphon,xantares woxic calyx imorr xfl0ud,0,1,copenhagen flames,7461,18,16,1,0,4,3,1.0,0.5714285714285714,1,7,0,eternal fire,11251,20,6,1,5,11,9,0.55,0,6,20,0,1,0
